Date_Time,Module,Action,Status,Exception
05/05/2021 06:32:32,Main,GA Insurance BOT Started,Success
05/05/2021 06:32:35,2_GAInsurance_Setup,Module Started,Success
05/05/2021 06:32:35,2_GAInsurance_Setup,MLP Insurance BOT Finished,Success
05/05/2021 06:32:35,Main,2_MLPInsurance_Setup Completed,Success
05/05/2021 06:32:35,Main,BOT Start Time: 05/05/2021 06:32:32,Success
05/05/2021 06:32:35,Main,BOT Start Time: 05/06/2021 03:32:32,Success
05/05/2021 06:32:36,3_GAInsurance_Processing,Module Started,Success
05/05/2021 06:32:46,3_GAInsurance_Processing,Api Call Status COde: 401,Success
05/05/2021 06:32:46,3_GAInsurance_Processing,Unable to cast object of type 'Newtonsoft.Json.Linq.JArray' to type 'Newtonsoft.Json.Linq.JObject'.,Success
05/05/2021 06:32:48,3_GAInsurance_Processing,Api Call Status COde to generate Access Token: 200,Success
05/05/2021 06:32:48,3_GAInsurance_Processing,Token Generarted,Success
05/05/2021 06:32:53,3_GAInsurance_Processing,Api Call Status COde: 200,Success
05/05/2021 06:32:53,3_GAInsurance_Processing,Leads Records Fetched through Rest APi,Success
05/05/2021 06:32:58,3_GAInsurance_Processing,Lead Fecthed : 18,Success
05/05/2021 06:32:58,Login_Georgia_AutoInsurance_Portal, Launch URL https://eagent.farmersinsurance.com/PLA/eAgent/Ade/ade?req_page=home#!alerts/critical, Success
05/05/2021 06:32:58,Login_Georgia_AutoInsurance_Portal, Counter 0, Success
05/05/2021 06:32:58,Login_Georgia_AutoInsurance_Portal, Login Button element exist or not False, Success
05/05/2021 06:33:09,Login_Georgia_AutoInsurance_Portal, Login Button element exist or not True, Success
05/05/2021 06:33:11,Login_Georgia_AutoInsurance_Portal, Clicked on Login Button , Success
05/05/2021 06:33:18,Login_Georgia_AutoInsurance_Portal, Login successfully , Success
05/05/2021 06:33:18,Login_Georgia_AutoInsurance_Portal,Window already opened,
05/05/2021 06:33:44,3_MLPInsurance_Processing-IE,Runtime Error,Fail,Object reference not set to an instance of an object.
05/05/2021 06:33:50,3_GAInsurance_Processing,Module Started,Success
05/05/2021 06:33:56,3_GAInsurance_Processing,Api Call Status COde: 200,Success
05/05/2021 06:33:56,3_GAInsurance_Processing,Leads Records Fetched through Rest APi,Success
05/05/2021 06:34:08,3_GAInsurance_Processing,Lead Fecthed : 18,Success
05/05/2021 06:34:08,Login_Georgia_AutoInsurance_Portal, Launch URL https://eagent.farmersinsurance.com/PLA/eAgent/Ade/ade?req_page=home#!alerts/critical, Success
05/05/2021 06:34:08,Login_Georgia_AutoInsurance_Portal, Counter 0, Success
05/05/2021 06:34:08,Login_Georgia_AutoInsurance_Portal, Login Button element exist or not False, Success
05/05/2021 06:34:41,Login_Georgia_AutoInsurance_Portal, Login Button element exist or not False, Success
05/05/2021 06:34:41,Login_Georgia_AutoInsurance_Portal,Technical Exception : Unable to find Login window,Failed
05/05/2021 06:34:41,Login_Georgia_AutoInsurance_Portal, Launch URL https://eagent.farmersinsurance.com/PLA/eAgent/Ade/ade?req_page=home#!alerts/critical, Success
05/05/2021 06:34:41,Login_Georgia_AutoInsurance_Portal, Counter 0, Success
05/05/2021 06:34:41,Login_Georgia_AutoInsurance_Portal, Login Button element exist or not False, Success
