Date_Time,Module,Action,Status,Exception
05/04/2021 10:47:19,Main,GA Insurance BOT Started,Success
05/04/2021 10:47:22,2_GAInsurance_Setup,Module Started,Success
05/04/2021 10:47:22,2_GAInsurance_Setup,MLP Insurance BOT Finished,Success
05/04/2021 10:47:22,Main,2_MLPInsurance_Setup Completed,Success
05/04/2021 10:47:22,Main,BOT Start Time: 05/04/2021 10:47:19,Success
05/04/2021 10:47:22,Main,BOT Start Time: 05/05/2021 07:47:19,Success
05/04/2021 10:47:26,3_GAInsurance_Processing,Module Started,Success
05/04/2021 10:47:33,3_GAInsurance_Processing,Api Call Status COde: 401,Success
05/04/2021 10:47:36,3_GAInsurance_Processing,Unable to cast object of type 'Newtonsoft.Json.Linq.JArray' to type 'Newtonsoft.Json.Linq.JObject'.,Success
05/04/2021 10:47:37,3_GAInsurance_Processing,Api Call Status COde to generate Access Token: 200,Success
05/04/2021 10:47:37,3_GAInsurance_Processing,Token Generarted,Success
05/04/2021 10:47:39,3_GAInsurance_Processing,Api Call Status COde: 200,Success
05/04/2021 10:47:43,3_GAInsurance_Processing,Leads Records Fetched through Rest APi,Success
05/04/2021 10:47:45,3_GAInsurance_Processing,Lead Fecthed : 18,Success
05/04/2021 10:47:46,3_MLPInsurance_Processing-IE,Runtime Error,Fail,Object reference not set to an instance of an object.
05/04/2021 10:47:56,3_GAInsurance_Processing,Module Started,Success
05/04/2021 10:48:02,3_GAInsurance_Processing,Api Call Status COde: 200,Success
05/04/2021 10:48:07,3_GAInsurance_Processing,Leads Records Fetched through Rest APi,Success
05/04/2021 10:48:56,Main,GA Insurance BOT Started,Success
05/04/2021 10:48:59,2_GAInsurance_Setup,Module Started,Success
05/04/2021 10:48:59,2_GAInsurance_Setup,MLP Insurance BOT Finished,Success
05/04/2021 10:48:59,Main,2_MLPInsurance_Setup Completed,Success
05/04/2021 10:48:59,Main,BOT Start Time: 05/04/2021 10:48:56,Success
05/04/2021 10:48:59,Main,BOT Start Time: 05/05/2021 07:48:56,Success
05/04/2021 10:49:06,3_GAInsurance_Processing,Module Started,Success
